act_dict	429	453	153	20042	0.737113402062	0.486394557823	0.58606557377	0.739409212559
racial_dict	32	850	13	20182	0.711111111111	0.0362811791383	0.0690399137001	0.517818727722
nat_dict	1	881	6	20189	0.142857142857	0.00113378684807	0.00224971878515	0.500418341802
job_dict	70	812	33	20162	0.679611650485	0.0793650793651	0.142131979695	0.538865505763
wordnet_dict	490	392	230	19965	0.680555555556	0.555555555556	0.611735330836	0.772083298946
all_dict	565	317	330	19865	0.631284916201	0.640589569161	0.635903207653	0.812124445388
twit_identities10_alone	836	46	4084	16111	0.169918699187	0.947845804989	0.288176490865	0.872808765332
twit_identities10_w_all	839	43	4096	16099	0.170010131712	0.951247165533	0.288464844422	0.87421234236
twit_identities100_alone	800	82	2878	17317	0.217509516041	0.907029478458	0.350877192982	0.882259478026
twit_identities100_w_all	814	68	2966	17229	0.215343915344	0.922902494331	0.349206349206	0.888017228844
twit_identities1000_alone	572	310	1278	18917	0.309189189189	0.648526077098	0.418740849195	0.792621543129
twit_identities1000_w_all	657	225	1404	18791	0.318777292576	0.744897959184	0.446483180428	0.837687900117
twit_identities10000_alone	380	502	247	19948	0.606060606061	0.430839002268	0.503644797879	0.709304126041
twit_identities10000_w_all	589	293	450	19745	0.566891241578	0.667800453515	0.613222280062	0.822758855131
twit_identities50000_alone	193	689	78	20117	0.712177121771	0.218820861678	0.334778837814	0.607479259757
twit_identities50000_w_all	577	305	350	19845	0.622437971953	0.654195011338	0.637921503593	0.818431994404
